area,year,month,agg_id,total_crimes
1,2015,2,300,146
7,2015,2,725,16
10,2015,2,725,16
12,2015,2,775,138
12,2015,2,750,138
18,2015,2,1700,16
21,2015,2,2400,16
10,2015,2,775,137
5,2015,2,775,137
18,2015,2,300,135
11,2015,2,775,135
20,2015,2,775,130
8,2015,2,2400,18
10,2015,2,750,127
13,2015,2,775,123
20,2015,2,1700,18
12,2015,2,1900,122
3,2015,2,1700,19
7,2015,2,400,19
16,2015,2,775,120
20,2015,2,300,118
17,2015,2,2400,19
2,2015,2,300,117
5,2015,2,725,20
2,2015,2,775,115
7,2015,2,750,114
9,2015,2,2400,20
3,2015,2,775,246
3,2015,2,750,113
2,2015,2,750,113
19,2015,2,1700,20
12,2015,2,850,110
21,2015,2,1700,20
1,2015,2,800,21
12,2015,2,400,109
9,2015,2,725,21
13,2015,2,300,106
21,2015,2,750,105
16,2015,2,2400,21
19,2015,2,750,105
7,2015,2,2400,22
4,2015,2,775,103
13,2015,2,750,101
11,2015,2,750,101
5,2015,2,750,101
16,2015,2,750,100
3,2015,2,2400,23
9,2015,2,300,98
15,2015,2,300,97
6,2015,2,750,97
12,2015,2,1700,23
14,2015,2,2400,23
19,2015,2,300,95
4,2015,2,300,95
18,2015,2,775,94
6,2015,2,725,24
18,2015,2,2400,24
20,2015,2,2400,24
12,2015,2,725,90
18,2015,2,750,89
15,2015,2,800,89
4,2015,2,725,25
11,2015,2,1900,89
20,2015,2,750,88
10,2015,2,400,25
9,2015,2,800,88
13,2015,2,2400,25
13,2015,2,850,87
6,2015,2,300,87
21,2015,2,300,86
18,2015,2,1900,86
21,2015,2,400,25
1,2015,2,2400,26
17,2015,2,300,85
8,2015,2,300,85
3,2015,2,850,85
2,2015,2,1900,85
5,2015,2,1900,82
14,2015,2,725,27
16,2015,2,400,27
8,2015,2,800,80
15,2015,2,1900,79
6,2015,2,1900,79
6,2015,2,400,28
5,2015,2,850,78
8,2015,2,1700,3
11,2015,2,300,76
10,2015,2,850,29
12,2015,2,2400,29
18,2015,2,800,29
19,2015,2,2400,29
19,2015,2,400,29
19,2015,2,1900,74
14,2015,2,850,74
14,2015,2,775,236
3,2015,2,1900,74
21,2015,2,800,73
5,2015,2,300,73
14,2015,2,300,72
4,2015,2,850,72
2,2015,2,850,72
9,2015,2,400,31
18,2015,2,850,71
16,2015,2,300,71
4,2015,2,750,71
1,2015,2,750,71
1,2015,2,1900,71
2,2015,2,800,32
10,2015,2,800,70
9,2015,2,1900,70
21,2015,2,1900,69
19,2015,2,850,69
13,2015,2,1900,69
10,2015,2,300,69
14,2015,2,400,32
1,2015,2,850,69
19,2015,2,800,68
7,2015,2,300,68
8,2015,2,850,33
3,2015,2,800,68
1,2015,2,1700,4
14,2015,2,1900,67
20,2015,2,400,33
17,2015,2,800,66
9,2015,2,850,66
13,2015,2,800,34
16,2015,2,850,64
16,2015,2,1900,64
11,2015,2,850,63
21,2015,2,850,35
4,2015,2,800,36
11,2015,2,725,36
8,2015,2,1900,62
12,2015,2,800,61
2,2015,2,2400,37
14,2015,2,800,60
10,2015,2,1900,60
4,2015,2,1900,60
15,2015,2,850,59
1,2015,2,400,59
17,2015,2,1900,57
16,2015,2,800,57
2,2015,2,725,39
4,2015,2,400,39
5,2015,2,1700,39
7,2015,2,800,56
20,2015,2,1900,55
