area,year,month,agg_id,total_crimes
5,2018,6,775,145
14,2017,10,775,239
14,2016,6,400,17
21,2015,9,400,36
13,2016,12,2400,29
21,2017,8,400,29
2,2017,8,1700,16
2,2018,3,400,52
10,2017,4,1900,76
19,2015,8,800,64
3,2017,4,2400,34
7,2015,8,1900,68
13,2018,10,850,86
10,2015,5,750,144
20,2018,1,1900,95
21,2018,5,400,27
6,2016,9,775,193
5,2015,1,725,20
6,2016,7,750,155
1,2015,7,725,62
20,2016,6,750,143
10,2017,8,800,85
15,2017,4,400,32
1,2017,5,2400,33
8,2017,9,2400,18
2,2018,5,750,92
14,2016,9,2400,22
5,2018,11,2400,8
20,2017,4,725,48
11,2016,8,750,136
3,2015,5,1700,20
12,2016,6,725,123
6,2015,6,800,45
18,2017,6,400,103
7,2018,9,2400,22
3,2016,7,400,84
14,2016,9,300,99
6,2018,5,750,151
8,2017,3,400,9
12,2017,9,800,44
6,2016,5,775,169
6,2016,12,1900,78
9,2016,6,850,66
7,2015,7,300,90
2,2015,8,1700,16
15,2018,7,800,86
13,2015,10,400,79
12,2018,7,775,159
18,2016,12,2400,26
10,2016,6,750,176
8,2017,12,725,16
18,2018,4,750,95
21,2015,4,775,204
5,2017,3,1900,100
10,2015,5,400,34
14,2018,3,850,104
2,2015,10,400,86
1,2016,8,300,205
19,2015,8,2400,18
17,2015,12,750,180
2,2015,7,725,67
6,2016,5,800,60
19,2018,8,775,184
8,2017,10,850,54
20,2016,11,300,126
10,2016,6,1700,14
3,2016,4,400,83
9,2015,7,300,114
16,2016,9,300,97
11,2017,4,775,164
11,2016,9,400,43
14,2015,1,775,280
18,2017,5,1900,120
5,2016,4,775,158
15,2015,12,400,57
12,2017,8,850,103
8,2018,5,1900,63
17,2017,6,400,34
11,2016,3,775,178
3,2016,9,2400,28
4,2017,4,1900,89
13,2018,3,400,64
11,2016,7,400,38
3,2015,11,2400,30
14,2017,3,1700,13
10,2016,10,850,70
17,2017,10,850,60
20,2016,12,725,53
4,2017,3,850,106
10,2015,8,775,141
7,2017,10,1900,96
19,2017,7,2400,31
7,2016,7,850,53
